DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - How safe and inclusive is the school while supporting social-emotional growth?,Quality Review - How well does the school allocate and manage resources?,"Quality Review - How well does the school identify, track, and meet its goals?",Quality Review - How thoughtful is the school’s approach to teacher development and evaluation?,Quality Review - How well are school decisions evaluated and adjusted?,Quality Review - Dates of Review,Average Incoming ELA Proficiency (Based on 5th Grade),Average Incoming Math Proficiency (Based on 5th Grade),Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
01M015,P.S. 015 Roberto Clemente,Elementary,173,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.84,0.92,0.82,0.94,0.94,0.94,Well Developed,Proficient,Proficient,Proficient,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,03/01/2017 12:00:00 AM,,,0.046,0.26,0.04,0.895,0.405,0.786,0.098,0.254,0.601,0.035,7.8,0.625,0.939,0.186,0.985
01M019,P.S. 019 Asher Levy,Elementary,244,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,0.85,0.87,0.88,0.84,0.94,0.88,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,10/01/2016 12:00:00 AM,,,0.033,0.361,0.111,0.689,0.143,0.549,0.094,0.197,0.631,0.066,8.8,0.762,0.914,0.353,0.968
01M020,P.S. 020 Anna Silver,Elementary,463,Not Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.69,0.8,0.76,0.82,0.93,0.85,Developing,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Developing,04/01/2017 12:00:00 AM,,,0.186,0.253,0.091,0.799,0.199,0.693,0.309,0.102,0.523,0.026,1.8,0.622,0.93,0.274,0.967
01M034,P.S. 034 Franklin D. Roosevelt,K-8,320,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,0.73,0.61,0.61,0.64,0.9,0.72,Developing,Developing,Developing,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Developing,10/01/2017 12:00:00 AM,,,0.078,0.378,0.028,0.93,0.266,0.863,0.034,0.316,0.613,0.031,1.7,0.737,0.901,0.391,0.976
01M063,The STAR Academy - P.S.63,Elementary,177,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,0.77,0.92,0.83,0.93,0.95,0.94,Well Developed,Proficient,Well Developed,Proficient,Well Developed,,,,,,10/27/2015 12:00:00 AM,,,0.011,0.356,0.006,0.779,0.254,0.638,0.028,0.175,0.65,0.107,10.9,0.474,0.927,0.261,0.98
01M064,P.S. 064 Robert Simon,Elementary,210,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.82,0.91,0.77,0.92,0.95,0.93,Proficient,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,01/01/2018 12:00:00 AM,,,0.024,0.333,0.014,0.883,0.233,0.767,0.048,0.21,0.667,0.062,9.8,0.667,0.907,0.386,0.969
01M110,P.S. 110 Florence Nightingale,Elementary,349,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.87,0.91,0.85,0.89,0.94,0.91,Developing,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Developing,10/01/2016 12:00:00 AM,,,0.04,0.132,0.032,0.594,0.16,0.427,0.178,0.1,0.441,0.249,10,0.56,0.944,0.177,0.979
01M134,P.S. 134 Henrietta Szold,Elementary,277,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.8,0.86,0.75,0.88,0.9,0.91,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,11/10/2015 12:00:00 AM,,,0.094,0.437,0.112,0.905,0.227,0.841,0.116,0.22,0.606,0.04,4.9,0.771,0.901,0.422,0.965
01M140,P.S. 140 Nathan Straus,K-8,353,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,0.8,0.8,0.68,0.86,0.89,0.86,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,01/01/2018 12:00:00 AM,,,0.102,0.337,0.139,0.913,0.218,0.836,0.054,0.122,0.796,0.023,3,0.818,0.895,0.452,0.946
01M142,P.S. 142 Amalia Castro,Elementary,308,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,0.81,0.85,0.74,0.89,0.95,0.89,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,02/01/2018 12:00:00 AM,,,0.088,0.409,0.123,0.924,0.328,0.818,0.023,0.123,0.831,0.003,3,0.649,0.922,0.282,0.975
01M184,P.S. 184m Shuang Wen,K-8,649,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Exceeding Target,0.77,0.73,0.7,0.75,0.91,0.81,Proficient,Developing,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Developing,10/01/2016 12:00:00 AM,,,0.159,0.166,0.018,0.654,0.126,0.49,0.698,0.039,0.128,0.074,7,0.538,0.977,0.045,0.97
01M188,P.S. 188 The Island School,K-8,414,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.99,1,1,1,1,1,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,01/21/2016 12:00:00 AM,,,0.167,0.324,0.08,0.951,0.505,0.855,0.017,0.29,0.667,0.027,3.9,0.775,0.89,0.434,0.962
